日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,6217,津田_工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6218,エンシュウ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6222,_精__作所,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6226,守谷_送_工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6227,ＡＩメカテック,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6228,ジェイ·イ_·ティ,PRO Market,3600,_械,8,_械 ,-,-
20220729,6229,オ_ケ_エム,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6230,ＳＡＮＥＩ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6231,木村工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6232,ＡＣＳＬ,グロ_ス（内国株式）,3600,_械,8,_械 ,-,-
20220729,6233,____,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6235,オプトラン,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6236,ＮＣホ_ルディングス,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6237,イワキポンプ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6238,フリュ_,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6239,ナガオカ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6240,ヤマシンフィルタ,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6245,ヒラノテクシ_ド,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6246,テクノスマ_ト,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6247,日阪_作所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6248,横田_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6249,ゲ_ムカ_ド·ジョイコホ_ルディングス,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6250,やまびこ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6254,野村マイクロ·サイエンス,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6255,エヌ·ピ_·シ_,グロ_ス（内国株式）,3600,_械,8,_械 ,-,-
20220729,6257,藤商事,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6258,平田_工,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6262,ペガサスミシン_造,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6264,マルマエ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6265,コンバム,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6266,タツモ,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6267,ゼネラルパッカ_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6268,ナブテスコ,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6269,三井海洋__,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6272,レオン自__,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6273,ＳＭＣ,プライム（内国株式）,3600,_械,8,_械 ,1,TOPIX Core30
20220729,6276,シリウスビジョン,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6277,ホソカワミクロン,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6278,ユニオンツ_ル,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6279,瑞光,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6282,オイレス工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6284,日精エ_·エス·ビ__械,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6286,_甲,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6287,サト_ホ_ルディングス,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6289,技研_作所,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6291,日本エア_テック,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6292,カワタ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6293,日精_脂工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6294,オカダアイヨン,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6297,_研工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6298,ワイエイシイホ_ルディングス,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6301,小松_作所,プライム（内国株式）,3600,_械,8,_械 ,2,TOPIX Large70
20220729,6302,住友重_械工_,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6303,ササクラ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6305,日立建_,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6306,日工,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6307,サンセイ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6309,巴工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6310,井___,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6312,フロイント__,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6315,ＴＯＷＡ,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6316,丸山_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6317,北川_工所,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6319,シンニッタン,スタンダ_ド（内国株式）,3450,__,7,__·非_ ,7,TOPIX Small 2
20220729,6322,タクミナ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6323,ロ_ツェ,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6324,ハ_モニック·ドライブ·システムズ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6325,タカキタ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6326,クボタ,プライム（内国株式）,3600,_械,8,_械 ,2,TOPIX Large70
20220729,6327,北川精_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6328,荏原__,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6330,_洋エンジニアリング,プライム（内国株式）,2050,建__,3,建_·_材 ,7,TOPIX Small 2
20220729,6331,三菱化工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
